score system npt_6.0.gro  atoms 21087
train system npt_3.0.gro  R2 [0.757, 0.752, 0.755]
drift sigma 0.04  proposals per point 40  seed 7  kT 2.4943

radius 0.70  waters 44
  move    step    RMS nm     dU/kT     logH     accept
 drift   0.100    0.0051     7.642 -117.389  5.005e-55
 drift   0.100    0.0051     5.300 -106.190  3.808e-49
 drift   0.100    0.0052     2.894 -110.767  4.343e-50
 drift   0.100    0.0052     7.028 -117.653  7.108e-55
 drift   0.100    0.0052    12.115  -98.476  9.356e-49
 drift   0.100    0.0052    13.004 -121.791  2.879e-59
 drift   0.100    0.0052     8.281 -104.757  8.089e-50
 drift   0.100    0.0053     6.715  -98.994  1.234e-46
 drift   0.100    0.0053    10.862 -113.259  1.244e-54
 drift   0.100    0.0053     8.043 -116.042  1.290e-54
 drift   0.100    0.0053     8.419 -114.487  4.194e-54
 drift   0.100    0.0053    12.002 -121.006  1.719e-58
 drift   0.100    0.0054     5.826 -132.058  1.312e-60
 drift   0.100    0.0054     7.367 -130.444  1.411e-60
 drift   0.100    0.0054     7.229 -118.123  3.632e-55
 drift   0.100    0.0054    11.238 -115.832  6.523e-56
 drift   0.100    0.0055     4.535 -134.134  5.981e-61
 drift   0.100    0.0055     7.129 -119.589  9.277e-56
 drift   0.100    0.0055     8.081 -127.203  1.765e-59
 drift   0.100    0.0055    12.052 -131.985  2.788e-63
 drift   0.100    0.0055    10.323 -105.104  7.419e-51
 drift   0.100    0.0055     9.659 -143.304  3.707e-67
 drift   0.100    0.0056     8.795 -116.570  3.588e-55
 drift   0.100    0.0056     7.805 -117.816  2.775e-55
 drift   0.100    0.0058     7.028 -128.722  1.108e-59
 drift   0.100    0.0059     3.195 -136.908  1.426e-61
 drift   0.140    0.0052     4.473 -181.176  2.366e-81
 drift   0.140    0.0053     5.913 -210.124  1.501e-94
 drift   0.140    0.0053    11.401 -199.369  2.909e-92
 drift   0.140    0.0056     2.305 -208.296  3.445e-92
 drift   0.140    0.0056     6.302 -201.644  4.900e-91
 drift   0.140    0.0057     6.001 -184.796  1.373e-83
 drift   0.140    0.0057     6.828 -205.495  6.155e-93
 drift   0.140    0.0057     7.429 -216.287  6.941e-98
 drift   0.140    0.0058     1.102 -212.053  2.677e-93
 drift   0.140    0.0058     9.985 -221.188 4.006e-101
 drift   0.140    0.0058     7.880 -219.354  2.058e-99
 drift   0.140    0.0058     5.137 -249.187 3.536e-111
 drift   0.140    0.0058     7.717 -227.280 8.745e-103
 drift   0.140    0.0058     4.109 -200.142  1.972e-89
 drift   0.140    0.0059     4.585 -228.427 6.371e-102
 drift   0.140    0.0059     5.362 -247.357 1.759e-110
 drift   0.140    0.0059     5.024 -214.937  2.967e-96
 drift   0.140    0.0060     6.001 -252.074 8.308e-113
 drift   0.140    0.0060     3.470 -182.351  1.990e-81
 drift   0.140    0.0060     6.577 -187.027  8.295e-85
 drift   0.140    0.0061    10.637 -198.428  1.602e-91
 drift   0.140    0.0061     4.009 -214.724  1.012e-95
 drift   0.140    0.0061     9.258 -225.780 8.399e-103
 drift   0.140    0.0061    11.752 -250.482 1.298e-114
 drift   0.140    0.0061    10.048 -209.178  6.184e-96
 drift   0.140    0.0061     6.678 -209.974  8.115e-95
 drift   0.140    0.0061     4.573 -239.177 1.383e-106
 drift   0.140    0.0061     8.043 -215.409  9.032e-98
 drift   0.140    0.0061     8.670 -220.954 1.887e-100
 drift   0.140    0.0061     4.498 -237.610 7.147e-106
 drift   0.140    0.0061     6.515 -192.978  2.299e-87
 drift   0.140    0.0062     4.397 -217.603  3.859e-97
 drift   0.140    0.0062     5.061 -239.873 4.230e-107
 drift   0.140    0.0063     7.504 -243.468 1.009e-109
 drift   0.140    0.0063     4.498 -249.401 5.410e-111
 drift   0.140    0.0063    10.749 -231.058 9.646e-106
 drift   0.140    0.0066     9.271 -226.824 2.919e-103
 drift   0.140    0.0068     5.187 -262.130 8.054e-117
 drift   0.140    0.0068     3.608 -264.921 2.394e-117
 drift   0.140    0.0068     3.784 -255.607 2.228e-113
 drift   0.180    0.0060     4.297 -328.121 4.293e-145
 drift   0.180    0.0061     7.266 -327.921 2.690e-146
 drift   0.180    0.0062     5.876 -324.736 2.612e-144
 drift   0.180    0.0063     4.097 -329.717 1.063e-145
 drift   0.180    0.0063     8.620 -325.532 7.582e-146
 drift   0.180    0.0064     8.757 -342.794 2.105e-153
 drift   0.180    0.0064     3.997 -360.778 3.806e-159
 drift   0.180    0.0065     4.285 -337.289 4.531e-149
 drift   0.180    0.0065     2.005 -322.452 1.231e-141
 drift   0.180    0.0066     2.343 -351.772 1.621e-154
 drift   0.180    0.0067    10.474 -339.604 9.184e-153
 drift   0.180    0.0067    -0.050 -357.118 8.051e-156
 drift   0.180    0.0067     4.535 -388.488 2.052e-171
 drift   0.180    0.0067     4.134 -360.419 4.748e-159
 drift   0.180    0.0067     4.235 -356.437 2.302e-157
 drift   0.180    0.0067    11.012 -360.216 5.992e-162
 drift   0.180    0.0068     3.019 -326.810 5.712e-144
 drift   0.180    0.0068     8.181 -372.794 3.505e-166
 drift   0.180    0.0068     5.024 -353.477 2.019e-156
 drift   0.180    0.0068     8.519 -348.703 7.248e-156
 drift   0.180    0.0068     5.149 -355.018 3.815e-157
 drift   0.180    0.0068     7.154 -356.107 1.729e-158
 drift   0.180    0.0068     8.469 -345.280 2.337e-154
 drift   0.180    0.0069     6.126 -385.910 5.504e-171
 drift   0.180    0.0069     7.066 -362.486 3.203e-161
 drift   0.180    0.0070    10.098 -341.805 1.481e-153
 drift   0.180    0.0070     7.680 -397.554 1.021e-176
 drift   0.180    0.0070     4.848 -361.858 5.511e-160
 drift   0.180    0.0070     3.520 -402.741 3.654e-177
 drift   0.180    0.0071     5.776 -370.014 6.260e-164
