score system npt_6.0.gro  atoms 21087
train system npt_3.0.gro  R2 [0.757, 0.752, 0.755]
proposals per point 40  seed 21  kT 2.4943

radius 0.50  waters 19
    move    step    RMS nm     dU/kT     accept
  rotate   0.020    0.0124     1.779  1.688e-01
  rotate   0.020    0.0124    11.651  8.707e-06
  rotate   0.020    0.0125     2.368  9.368e-02
  rotate   0.020    0.0125    10.198  3.724e-05
  rotate   0.020    0.0125    10.687  2.285e-05
  rotate   0.020    0.0126     9.158  1.053e-04
  rotate   0.020    0.0127     4.999  6.746e-03
  rotate   0.020    0.0127     1.629  1.962e-01
  rotate   0.020    0.0127    10.950  1.756e-05
  rotate   0.020    0.0128     8.168  2.834e-04
  rotate   0.020    0.0128     0.739  4.775e-01
  rotate   0.020    0.0129     9.083  1.136e-04
  rotate   0.020    0.0130     9.196  1.015e-04
  rotate   0.020    0.0131    11.701  8.281e-06
  rotate   0.020    0.0131     9.860  5.223e-05
  rotate   0.020    0.0132     7.104  8.222e-04
  rotate   0.020    0.0132     6.377  1.700e-03
  rotate   0.020    0.0132     9.459  7.799e-05
  rotate   0.020    0.0132    10.010  4.494e-05
  rotate   0.020    0.0133     7.580  5.107e-04
  rotate   0.020    0.0133     7.830  3.975e-04
  rotate   0.020    0.0133     7.317  6.644e-04
  rotate   0.020    0.0134     7.179  7.626e-04
  rotate   0.020    0.0134     6.377  1.700e-03
  rotate   0.020    0.0134     4.560  1.046e-02
  rotate   0.020    0.0134     1.253  2.857e-01
  rotate   0.020    0.0134     4.761  8.559e-03
  rotate   0.020    0.0134     7.730  4.394e-04
  rotate   0.020    0.0134     6.277  1.880e-03
  rotate   0.020    0.0134     4.460  1.156e-02
  rotate   0.020    0.0135     7.204  7.437e-04
  rotate   0.020    0.0135     2.856  5.747e-02
  rotate   0.020    0.0135     4.924  7.273e-03
  rotate   0.020    0.0135     6.602  1.357e-03
  rotate   0.020    0.0135     3.646  2.610e-02
  rotate   0.020    0.0135     3.044  4.763e-02
  rotate   0.020    0.0136     2.506  8.162e-02
  rotate   0.020    0.0136     3.383  3.396e-02
  rotate   0.020    0.0136     3.859  2.109e-02
  rotate   0.030    0.0184     6.101  2.240e-03
  rotate   0.030    0.0184    21.123  6.706e-10
  rotate   0.030    0.0184     7.504  5.506e-04
  rotate   0.030    0.0185    23.315  7.487e-11
  rotate   0.030    0.0186    22.777  1.283e-10
  rotate   0.030    0.0188    13.330  1.625e-06
  rotate   0.030    0.0188     4.874  7.646e-03
  rotate   0.030    0.0189     4.686  9.227e-03
  rotate   0.030    0.0190    19.381  3.826e-09
  rotate   0.030    0.0190    17.026  4.033e-08
  rotate   0.030    0.0191     5.237  5.317e-03
  rotate   0.030    0.0193    17.540  2.413e-08
  rotate   0.030    0.0194    23.591  5.683e-11
  rotate   0.030    0.0196     9.334  8.840e-05
  rotate   0.030    0.0196     5.450  4.297e-03
  rotate   0.030    0.0196     4.235  1.449e-02
  rotate   0.030    0.0196    12.077  5.687e-06
  rotate   0.030    0.0196     4.097  1.663e-02
  rotate   0.030    0.0196    16.036  1.085e-07
  rotate   0.030    0.0197    15.648  1.600e-07
  rotate   0.030    0.0197    13.280  1.708e-06
  rotate   0.030    0.0198    20.108  1.850e-09
  rotate   0.030    0.0198     8.770  1.553e-04
  rotate   0.030    0.0198    16.876  4.688e-08
  rotate   0.030    0.0200    17.402  2.770e-08
  rotate   0.030    0.0201    10.449  2.899e-05
  rotate   0.030    0.0201    17.364  2.876e-08
  rotate   0.030    0.0201    21.586  4.218e-10
  rotate   0.030    0.0201    22.551  1.608e-10
  rotate   0.030    0.0201    23.152  8.811e-11
  rotate   0.030    0.0201    18.479  9.430e-09
  rotate   0.030    0.0201    17.690  2.076e-08
  rotate   0.030    0.0202    12.065  5.759e-06
  rotate   0.030    0.0202     9.121  1.094e-04
  rotate   0.030    0.0202    10.586  2.526e-05
  rotate   0.030    0.0203    10.574  2.557e-05
  rotate   0.030    0.0203    13.631  1.203e-06
  rotate   0.030    0.0203    12.391  4.158e-06
  rotate   0.030    0.0203     6.903  1.005e-03
  rotate   0.030    0.0204     7.517  5.437e-04
  rotate   0.050    0.0310    24.293  2.818e-11
  rotate   0.050    0.0316    48.360  9.948e-22
  rotate   0.050    0.0318    59.522  1.412e-26
  rotate   0.050    0.0320    25.157  1.187e-11
  rotate   0.050    0.0321    33.351  3.281e-15
  rotate   0.050    0.0321    19.732  2.694e-09
  rotate   0.050    0.0322    20.171  1.738e-09
  rotate   0.050    0.0323    19.018  5.502e-09
  rotate   0.050    0.0324    43.223  1.693e-19
  rotate   0.050    0.0324    72.577  3.022e-32
  rotate   0.050    0.0325    19.419  3.685e-09
  rotate   0.050    0.0326    59.259  1.837e-26
  rotate   0.050    0.0327    39.715  5.650e-18
  rotate   0.050    0.0327    22.426  1.822e-10
  rotate   0.050    0.0328    19.156  4.794e-09
  rotate   0.050    0.0329    16.412  7.452e-08
  rotate   0.050    0.0330    67.854  3.400e-30
  rotate   0.050    0.0330    20.484  1.270e-09
  rotate   0.050    0.0331    56.302  3.533e-25
  rotate   0.050    0.0332    42.521  3.414e-19
  rotate   0.050    0.0332    29.630  1.355e-13
  rotate   0.050    0.0333    35.731  3.036e-16
  rotate   0.050    0.0333    65.348  4.166e-29
  rotate   0.050    0.0333    39.590  6.404e-18
  rotate   0.050    0.0334    23.177  8.593e-11
  rotate   0.050    0.0334    21.261  5.843e-10
  rotate   0.050    0.0334    66.488  1.332e-29
  rotate   0.050    0.0335    34.866  7.206e-16
  rotate   0.050    0.0335    49.800  2.355e-22
